YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,WS10M,WD10M,Updated_T_C,Power_Output_kW
2022,1,9,4,0.0,0.0,10.35,2.36,73.8,10.35,0.0
2022,1,9,5,0.0,0.0,9.98,2.29,76.4,9.98,0.0
2022,1,9,6,0.0,0.0,9.67,2.21,76.7,9.67,0.0
2022,1,9,7,64.62,26.3,10.96,2.01,76.4,12.494321125,32437.683194994144
2022,1,9,8,270.77,116.73,13.85,2.09,77.0,20.2655566875,131137.04625315295
2022,1,9,9,472.48,207.32,18.11,1.66,43.8,29.431802,218983.29960272158
2022,1,9,10,631.03,277.42,21.03,2.22,11.7,35.930195875,283146.45975241804
2022,1,9,11,728.9,319.9,22.21,2.61,2.4,39.243481875,321571.7256544057
2022,1,9,12,753.4,331.73,22.98,2.88,355.4,40.45887999999999,330299.10913477634
2022,1,9,13,709.17,311.53,23.38,3.17,347.2,39.7042069375,312124.68691652326
2022,1,9,14,591.45,259.15,23.3,3.45,342.1,36.8109359375,264202.6491459649
2022,1,9,15,420.8,182.72,22.67,3.64,344.2,32.23268,192351.81606541824
2022,1,9,16,209.48,88.92,21.36,3.43,349.9,26.14792725,98652.6610711379
2022,1,9,17,24.88,9.8,17.27,2.52,356.8,17.852814,12186.120490876147
2022,1,9,18,0.0,0.0,15.4,2.92,5.5,15.4,0.0
2022,1,9,19,0.0,0.0,14.54,3.04,12.0,14.54,0.0
2022,1,9,20,0.0,0.0,13.76,3.0,15.5,13.76,0.0
2022,1,9,21,0.0,0.0,13.06,2.94,20.1,13.06,0.0
2022,1,9,22,0.0,0.0,12.39,2.89,24.5,12.39,0.0
2022,1,9,23,0.0,0.0,11.77,2.82,27.2,11.77,0.0
2022,1,10,0,0.0,0.0,11.19,2.76,29.3,11.19,0.0
2022,1,10,1,0.0,0.0,10.6,2.77,33.1,10.6,0.0
2022,1,10,2,0.0,0.0,10.03,2.83,37.0,10.03,0.0
2022,1,10,3,0.0,0.0,9.52,2.88,41.2,9.52,0.0
2022,1,10,4,0.0,0.0,9.06,2.91,46.3,9.06,0.0
2022,1,10,5,0.0,0.0,8.64,2.9,50.9,8.64,0.0
2022,1,10,6,0.0,0.0,8.27,2.88,55.8,8.27,0.0
2022,1,10,7,65.9,25.95,9.95,2.93,60.1,11.476820624999998,33232.62715190765
2022,1,10,8,276.1,117.01,13.1,3.36,60.4,19.42269,134247.39859225464
2022,1,10,9,479.92,207.8,17.28,3.4,55.7,28.25817,223711.85212239495
2022,1,10,10,641.5,278.5,20.24,4.03,53.3,34.661721875,289694.0353934838
2022,1,10,11,644.09,283.58,21.58,3.8,51.0,36.15253625,288681.03430299147
2022,1,10,12,665.95,293.27,22.56,3.45,47.1,37.772795312499994,296026.0464320876
2022,1,10,13,719.25,312.76,23.18,3.2,41.3,39.72275,316530.848794545
2022,1,10,14,598.58,259.77,23.35,3.2,34.9,37.11734,266970.75123372936
2022,1,10,15,421.73,181.68,22.99,3.37,27.9,32.6449811875,192381.6925117508
2022,1,10,16,214.15,90.05,21.75,3.15,22.6,26.6821421875,100591.91359726308
2022,1,10,17,26.17,10.04,17.2,2.81,14.6,17.8082889375,12820.605717726427
2022,1,10,18,0.0,0.0,15.38,3.34,11.0,15.38,0.0
2022,1,10,19,0.0,0.0,14.69,3.61,11.0,14.69,0.0
2022,1,10,20,0.0,0.0,14.07,3.8,14.2,14.07,0.0
2022,1,10,21,0.0,0.0,13.42,3.89,18.6,13.42,0.0
2022,1,10,22,0.0,0.0,12.74,3.91,24.1,12.74,0.0
2022,1,10,23,0.0,0.0,12.02,3.8,29.0,12.02,0.0
2022,1,11,0,0.0,0.0,11.28,3.6,32.6,11.28,0.0
2022,1,11,1,0.0,0.0,10.6,3.46,35.5,10.6,0.0
2022,1,11,2,0.0,0.0,9.97,3.38,37.8,9.97,0.0
2022,1,11,3,0.0,0.0,9.36,3.27,38.8,9.36,0.0
2022,1,11,4,0.0,0.0,8.77,3.18,38.1,8.77,0.0
2022,1,11,5,0.0,0.0,8.27,3.12,38.7,8.27,0.0
2022,1,11,6,0.0,0.0,7.78,2.99,37.7,7.78,0.0
2022,1,11,7,64.4,25.3,9.17,3.62,35.4,10.634295,32599.526142802075
2022,1,11,8,272.02,115.0,11.84,3.5,31.6,18.04545625,133115.1512252585
2022,1,11,9,474.7,205.2,16.13,3.41,32.4,26.985795625,222651.48751632747
2022,1,11,10,635.95,275.75,20.26,5.01,34.0,34.167431562500006,287902.23542263923
2022,1,11,11,732.62,318.67,21.7,5.03,27.7,37.712325875,325762.6880609136
2022,1,11,12,753.8,327.45,22.67,5.06,21.0,39.1311075,332749.5023803011
2022,1,11,13,706.53,306.73,23.21,5.12,16.8,38.612354,312716.2363985488
2022,1,11,14,590.25,254.87,23.26,5.07,13.7,36.1458953125,264558.864863666
2022,1,11,15,411.05,175.75,22.74,4.99,9.8,31.7342878125,188360.65954572897
2022,1,11,16,202.75,84.47,21.43,4.4,8.0,25.941187499999998,95578.50790170376
2022,1,11,17,24.42,9.6,16.98,2.97,7.9,17.545170375,11977.890975230383
2022,1,11,18,0.0,0.0,15.12,3.15,8.8,15.12,0.0
2022,1,11,19,0.0,0.0,14.34,3.09,9.9,14.34,0.0
2022,1,11,20,0.0,0.0,13.61,3.06,11.3,13.61,0.0
2022,1,11,21,0.0,0.0,12.91,3.07,12.4,12.91,0.0
2022,1,11,22,0.0,0.0,12.19,3.12,13.7,12.19,0.0
2022,1,11,23,0.0,0.0,11.49,3.16,16.0,11.49,0.0
2022,1,12,0,0.0,0.0,10.81,3.17,19.2,10.81,0.0
2022,1,12,1,0.0,0.0,10.16,3.16,22.1,10.16,0.0
2022,1,12,2,0.0,0.0,9.55,3.15,25.3,9.55,0.0
2022,1,12,3,0.0,0.0,8.99,3.17,30.8,8.99,0.0
2022,1,12,4,0.0,0.0,8.48,3.21,36.9,8.48,0.0
2022,1,12,5,0.0,0.0,7.99,3.19,42.8,7.99,0.0
2022,1,12,6,0.0,0.0,7.5,3.07,46.3,7.5,0.0
2022,1,12,7,54.67,21.75,8.9,3.31,47.0,10.1536514375,27733.89113394273
2022,1,12,8,242.5,100.15,11.62,3.13,41.4,17.208109375,119130.86017356563
2022,1,12,9,441.38,187.52,15.71,3.43,37.5,25.798291625,208214.5934527349
2022,1,12,10,601.67,258.15,19.5,5.07,36.8,32.6352081875,274478.765255748
2022,1,12,11,700.95,301.85,20.97,5.01,37.0,36.2989003125,313932.47713382455
2022,1,12,12,739.4,320.73,22.04,4.65,38.5,38.37611875,327661.8174787881
2022,1,12,13,692.88,300.03,22.74,4.31,37.5,38.1955545,307331.0652047128
2022,1,12,14,566.67,244.38,22.93,4.25,31.5,35.5915328125,254704.0108617367
2022,1,12,15,402.25,170.83,22.49,4.34,25.5,31.455146874999997,184583.35086303132
2022,1,12,16,194.98,80.65,21.09,3.71,20.2,25.512390125,92105.68905996764
2022,1,12,17,23.23,9.37,16.4,3.04,11.4,16.936612999999998,11426.335259561933
2022,1,12,18,0.0,0.0,14.84,3.44,10.0,14.84,0.0
2022,1,12,19,0.0,0.0,14.17,3.65,12.5,14.17,0.0
2022,1,12,20,0.0,0.0,13.23,3.79,16.6,13.23,0.0
2022,1,12,21,0.0,0.0,12.49,3.81,22.4,12.49,0.0
2022,1,12,22,0.0,0.0,11.77,3.75,28.5,11.77,0.0
